	exact	exact tag	aligned	aligned tag	unmatched	fraction_matched
40.0					1.0	0.0
45.0	0.0011350737797956867		0.0011350737797956867		0.9977298524404086	0.0022701475595913734
50.0	0.002904162633107454	0.001936108422071636	0.005808325266214908	0.000968054211035818	0.9883833494675702	0.011616650532429816
55.0	0.004122011541632316	0.004122011541632316	0.0032976092333058533	0.00494641384995878	0.9835119538334708	0.016488046166529265
60.0	0.00764525993883792	0.005351681957186544	0.013761467889908258	0.006880733944954129	0.9663608562691132	0.03363914373088685
65.0	0.013959390862944163	0.005710659898477157	0.017766497461928935	0.0133248730964467	0.949238578680203	0.050761421319796954
70.0	0.05509478672985782	0.023696682464454975	0.08234597156398105	0.09656398104265403	0.7422985781990521	0.25770142180094785
75.0	0.08909795240730492	0.034864416159380185	0.10570005534034312	0.12174875484228002	0.6485888212506917	0.3514111787493083
80.0	0.11860832894043226	0.04533473906167633	0.14022140221402213	0.14180284659989456	0.5540326831839747	0.44596731681602525
85.0	0.16295195641406637	0.05993065874195146	0.14759782070331848	0.15948489351163941	0.47003467062902426	0.5299653293709757
90.0	0.20470316114109482	0.047031611410948346	0.1599845797995374	0.1218195836545875	0.4664610639938319	0.5335389360061681
95.0	0.23912220961029135	0.02724177071509648	0.17063942489595157	0.09988649262202043	0.46311010215664017	0.5368898978433598
